satisfaction,Gender,CustomerType,Age,TypeofTravel,Class,FlightDistance,DepartureDelayinMinutes,ArrivalDelayinMinutes
dissatisfied,Female,LoyalCustomer,39,PersonalTravel,Eco,2913,423,418
dissatisfied,Female,LoyalCustomer,24,PersonalTravel,Eco,1961,423,417
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,4451,429,417
dissatisfied,Male,LoyalCustomer,25,Businesstravel,Eco,2288,420,416
dissatisfied,Male,LoyalCustomer,36,Businesstravel,EcoPlus,2528,404,413
dissatisfied,Female,LoyalCustomer,30,PersonalTravel,Eco,3844,400,412
satisfied,Male,LoyalCustomer,47,Businesstravel,EcoPlus,2062,414,410
satisfied,Female,LoyalCustomer,26,Businesstravel,Business,4254,412,410
satisfied,Female,LoyalCustomer,56,Businesstravel,Business,4477,415,410
satisfied,Female,LoyalCustomer,39,Businesstravel,Eco,1679,358,410
satisfied,Female,disloyalCustomer,24,Businesstravel,Eco,2359,360,409
satisfied,Male,LoyalCustomer,36,Businesstravel,Business,4204,407,409
dissatisfied,Female,LoyalCustomer,16,PersonalTravel,Eco,2594,309,407
satisfied,Female,LoyalCustomer,46,Businesstravel,Business,4506,416,407
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,2932,394,407
satisfied,Female,LoyalCustomer,44,Businesstravel,Eco,2196,420,407
dissatisfied,Female,LoyalCustomer,45,PersonalTravel,Eco,2753,336,406
dissatisfied,Female,LoyalCustomer,8,PersonalTravel,Eco,2206,328,404
satisfied,Female,LoyalCustomer,58,Businesstravel,Business,2669,401,404
dissatisfied,Male,LoyalCustomer,47,PersonalTravel,EcoPlus,2460,396,403
satisfied,Female,LoyalCustomer,45,Businesstravel,Eco,2893,416,403
satisfied,Male,LoyalCustomer,42,Businesstravel,Business,3063,423,403
satisfied,Male,LoyalCustomer,60,PersonalTravel,Eco,2751,431,402
dissatisfied,Female,disloyalCustomer,21,Businesstravel,Eco,2532,384,402
dissatisfied,Male,LoyalCustomer,15,PersonalTravel,Eco,2852,392,401
dissatisfied,Male,disloyalCustomer,39,Businesstravel,Eco,2348,383,401
dissatisfied,Male,LoyalCustomer,35,Businesstravel,Business,4842,384,401
dissatisfied,Male,LoyalCustomer,67,PersonalTravel,EcoPlus,2854,423,400
dissatisfied,Female,disloyalCustomer,72,Businesstravel,Eco,1718,350,399
satisfied,Female,LoyalCustomer,48,Businesstravel,Eco,2908,410,397
satisfied,Female,LoyalCustomer,51,Businesstravel,Eco,2148,329,395
dissatisfied,Female,LoyalCustomer,13,Businesstravel,Business,3849,400,393
dissatisfied,Female,LoyalCustomer,52,Businesstravel,Business,5247,351,393
dissatisfied,Female,disloyalCustomer,25,Businesstravel,Eco,1828,382,392
satisfied,Male,disloyalCustomer,25,Businesstravel,Business,1928,398,392
dissatisfied,Female,LoyalCustomer,53,Businesstravel,Business,4098,394,392
dissatisfied,Female,disloyalCustomer,28,Businesstravel,Eco,2629,355,391
dissatisfied,Female,disloyalCustomer,40,Businesstravel,Business,2125,402,389
dissatisfied,Male,LoyalCustomer,32,Businesstravel,Business,1902,360,388
satisfied,Female,LoyalCustomer,27,Businesstravel,Business,4882,182,388
dissatisfied,Male,LoyalCustomer,44,Businesstravel,Business,2222,383,386
satisfied,Female,LoyalCustomer,52,Businesstravel,Business,3448,151,385
dissatisfied,Female,LoyalCustomer,29,PersonalTravel,Eco,3829,365,383
satisfied,Male,LoyalCustomer,58,Businesstravel,Business,4908,394,383
dissatisfied,Female,LoyalCustomer,39,PersonalTravel,Eco,4203,376,382
dissatisfied,Female,LoyalCustomer,32,PersonalTravel,Eco,2299,364,381
satisfied,Male,LoyalCustomer,40,Businesstravel,Business,4634,392,381
satisfied,Female,LoyalCustomer,39,Businesstravel,Eco,2778,396,381
dissatisfied,Male,LoyalCustomer,35,Businesstravel,Business,4357,388,380
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,3157,333,380
satisfied,Female,disloyalCustomer,22,Businesstravel,Business,2364,359,379
dissatisfied,Female,LoyalCustomer,33,PersonalTravel,Eco,1982,389,378
satisfied,Male,disloyalCustomer,21,Businesstravel,Eco,2417,398,377
dissatisfied,Male,disloyalCustomer,24,Businesstravel,Eco,1892,236,374
satisfied,Female,disloyalCustomer,23,Businesstravel,Business,2393,381,374
dissatisfied,Female,LoyalCustomer,48,PersonalTravel,Eco,2190,371,372
satisfied,Female,LoyalCustomer,32,Businesstravel,Business,4836,382,372
satisfied,Male,LoyalCustomer,37,Businesstravel,Eco,2762,371,372
dissatisfied,Female,LoyalCustomer,78,Businesstravel,Eco,2027,362,371
satisfied,Female,LoyalCustomer,44,Businesstravel,Eco,2731,333,371
satisfied,Female,LoyalCustomer,37,Businesstravel,Business,5252,353,370
dissatisfied,Female,LoyalCustomer,64,PersonalTravel,Eco,5603,358,369
dissatisfied,Male,LoyalCustomer,47,PersonalTravel,Eco,2859,377,368
dissatisfied,Female,LoyalCustomer,10,PersonalTravel,Eco,2684,372,368
dissatisfied,Male,LoyalCustomer,61,Businesstravel,EcoPlus,2851,342,366
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,2212,326,366
dissatisfied,Male,LoyalCustomer,15,Businesstravel,Eco,2780,342,364
satisfied,Female,LoyalCustomer,59,Businesstravel,Business,2119,319,363
dissatisfied,Female,LoyalCustomer,37,Businesstravel,Business,2024,394,362
satisfied,Male,LoyalCustomer,56,Businesstravel,Business,4332,357,362
satisfied,Female,LoyalCustomer,40,Businesstravel,Eco,2253,390,362
satisfied,Female,LoyalCustomer,43,Businesstravel,Business,2212,321,360
satisfied,Female,LoyalCustomer,46,Businesstravel,Business,2337,347,359
satisfied,Male,LoyalCustomer,31,Businesstravel,Business,2295,353,359
dissatisfied,Male,LoyalCustomer,17,PersonalTravel,Eco,2195,273,358
dissatisfied,Male,LoyalCustomer,35,Businesstravel,Eco,2583,373,358
satisfied,Female,LoyalCustomer,54,Businesstravel,Business,2444,383,358
dissatisfied,Male,LoyalCustomer,31,PersonalTravel,Eco,2585,365,357
satisfied,Male,LoyalCustomer,20,PersonalTravel,Business,2481,368,357
dissatisfied,Male,LoyalCustomer,25,Businesstravel,Business,5011,351,357
satisfied,Male,LoyalCustomer,49,Businesstravel,Business,5395,358,357
dissatisfied,Female,LoyalCustomer,68,PersonalTravel,Eco,2011,362,356
dissatisfied,Female,LoyalCustomer,16,PersonalTravel,Eco,4145,280,355
dissatisfied,Male,LoyalCustomer,70,PersonalTravel,Eco,2164,358,354
dissatisfied,Male,LoyalCustomer,27,Businesstravel,Eco,2826,391,354
dissatisfied,Male,LoyalCustomer,43,PersonalTravel,EcoPlus,2470,381,353
dissatisfied,Male,LoyalCustomer,41,PersonalTravel,Eco,1784,314,352
satisfied,Male,LoyalCustomer,50,Businesstravel,Eco,1764,348,351
dissatisfied,Female,LoyalCustomer,50,PersonalTravel,Eco,2912,368,350
dissatisfied,Male,LoyalCustomer,19,PersonalTravel,Eco,2724,377,350
dissatisfied,Male,disloyalCustomer,21,Businesstravel,Eco,2710,345,350
dissatisfied,Male,LoyalCustomer,74,Businesstravel,Business,4458,368,350
dissatisfied,Female,LoyalCustomer,36,Businesstravel,Eco,2151,363,350
satisfied,Male,LoyalCustomer,47,Businesstravel,Business,3883,352,350
dissatisfied,Male,disloyalCustomer,20,Businesstravel,Eco,2197,330,349
dissatisfied,Male,LoyalCustomer,48,Businesstravel,Business,2367,348,349
satisfied,Female,LoyalCustomer,40,Businesstravel,Eco,2203,346,349
dissatisfied,Male,LoyalCustomer,79,Businesstravel,Business,1713,330,348
dissatisfied,Male,disloyalCustomer,45,Businesstravel,Business,2638,366,347
dissatisfied,Male,disloyalCustomer,9,Businesstravel,Eco,2619,360,347
dissatisfied,Female,LoyalCustomer,18,Businesstravel,Business,3900,315,347
dissatisfied,Female,LoyalCustomer,43,PersonalTravel,Eco,2377,358,346
dissatisfied,Female,disloyalCustomer,23,Businesstravel,EcoPlus,3987,315,346
satisfied,Female,disloyalCustomer,55,Businesstravel,Eco,1726,355,346
dissatisfied,Female,LoyalCustomer,10,Businesstravel,Business,2803,277,345
dissatisfied,Male,LoyalCustomer,15,PersonalTravel,Eco,2221,352,344
dissatisfied,Female,LoyalCustomer,33,PersonalTravel,EcoPlus,2355,355,342
dissatisfied,Male,LoyalCustomer,23,PersonalTravel,Eco,1850,351,342
satisfied,Female,LoyalCustomer,59,PersonalTravel,Eco,2425,231,341
dissatisfied,Male,disloyalCustomer,29,Businesstravel,Eco,2439,331,341
dissatisfied,Male,LoyalCustomer,24,Businesstravel,Business,3798,370,341
satisfied,Male,LoyalCustomer,49,Businesstravel,Business,3981,340,341
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,5753,371,339
dissatisfied,Male,LoyalCustomer,49,PersonalTravel,Eco,2561,343,338
dissatisfied,Female,LoyalCustomer,10,PersonalTravel,Business,2778,340,338
dissatisfied,Female,disloyalCustomer,21,Businesstravel,Eco,1957,333,338
dissatisfied,Male,LoyalCustomer,56,PersonalTravel,Business,1879,328,337
dissatisfied,Male,disloyalCustomer,38,Businesstravel,Eco,2053,128,337
dissatisfied,Male,LoyalCustomer,40,Businesstravel,Business,3907,328,337
satisfied,Male,disloyalCustomer,21,Businesstravel,Business,2464,316,336
dissatisfied,Female,LoyalCustomer,62,Businesstravel,Eco,2800,332,336
dissatisfied,Male,LoyalCustomer,44,Businesstravel,Business,2370,351,336
satisfied,Male,LoyalCustomer,33,Businesstravel,Eco,2058,313,336
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,4530,342,336
dissatisfied,Female,disloyalCustomer,20,Businesstravel,Eco,2103,340,335
satisfied,Female,LoyalCustomer,53,Businesstravel,Business,5438,352,335
dissatisfied,Female,disloyalCustomer,30,Businesstravel,Business,2582,338,334
satisfied,Male,LoyalCustomer,39,Businesstravel,Business,3206,338,334
satisfied,Female,LoyalCustomer,34,Businesstravel,Business,5776,341,334
dissatisfied,Female,LoyalCustomer,45,PersonalTravel,Eco,2335,338,333
dissatisfied,Female,LoyalCustomer,32,Businesstravel,Business,2978,292,331
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,5030,344,331
dissatisfied,Female,LoyalCustomer,16,PersonalTravel,Eco,2506,337,330
satisfied,Male,LoyalCustomer,12,PersonalTravel,Eco,2094,326,330
dissatisfied,Male,disloyalCustomer,55,Businesstravel,Business,1987,328,330
dissatisfied,Female,LoyalCustomer,48,Businesstravel,Business,4803,334,330
satisfied,Male,LoyalCustomer,26,Businesstravel,Business,3995,286,330
dissatisfied,Female,LoyalCustomer,64,PersonalTravel,Eco,2174,308,329
dissatisfied,Female,LoyalCustomer,41,PersonalTravel,Business,2302,323,329
satisfied,Female,disloyalCustomer,46,Businesstravel,Business,3085,348,329
satisfied,Female,LoyalCustomer,51,Businesstravel,Eco,2703,326,329
dissatisfied,Female,LoyalCustomer,10,PersonalTravel,Eco,2490,313,327
dissatisfied,Female,LoyalCustomer,40,Businesstravel,Business,4703,330,327
satisfied,Female,LoyalCustomer,39,Businesstravel,Business,2475,336,327
dissatisfied,Female,disloyalCustomer,22,Businesstravel,EcoPlus,2153,316,326
dissatisfied,Male,LoyalCustomer,57,Businesstravel,Eco,4258,334,326
satisfied,Female,LoyalCustomer,30,Businesstravel,Business,5170,327,326
dissatisfied,Male,LoyalCustomer,61,PersonalTravel,Eco,2342,318,325
satisfied,Male,LoyalCustomer,54,Businesstravel,Business,5376,333,325
satisfied,Male,LoyalCustomer,16,PersonalTravel,Eco,2800,266,324
satisfied,Female,LoyalCustomer,33,Businesstravel,Business,3776,317,324
satisfied,Male,LoyalCustomer,37,Businesstravel,Business,4728,303,324
dissatisfied,Female,disloyalCustomer,33,Businesstravel,Business,1927,324,323
satisfied,Female,LoyalCustomer,41,Businesstravel,Business,3693,342,323
dissatisfied,Male,disloyalCustomer,17,Businesstravel,Eco,2953,330,322
dissatisfied,Female,LoyalCustomer,50,Businesstravel,Business,5149,338,322
satisfied,Male,LoyalCustomer,49,Businesstravel,Business,5572,331,322
satisfied,Male,LoyalCustomer,26,Businesstravel,Eco,3311,332,321
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,4037,330,321
satisfied,Male,disloyalCustomer,21,Businesstravel,Eco,1949,294,320
dissatisfied,Male,LoyalCustomer,40,Businesstravel,Business,4169,330,320
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,4459,313,320
satisfied,Male,LoyalCustomer,34,Businesstravel,Business,5221,320,320
dissatisfied,Male,disloyalCustomer,23,Businesstravel,Eco,2235,339,319
dissatisfied,Female,disloyalCustomer,36,Businesstravel,Eco,3029,275,319
satisfied,Male,LoyalCustomer,57,Businesstravel,Business,4243,344,319
satisfied,Male,LoyalCustomer,44,Businesstravel,EcoPlus,2848,311,319
satisfied,Male,LoyalCustomer,54,Businesstravel,Business,3629,302,319
dissatisfied,Male,LoyalCustomer,40,Businesstravel,Business,4765,334,318
dissatisfied,Male,LoyalCustomer,11,Businesstravel,Eco,3159,317,318
satisfied,Male,LoyalCustomer,39,Businesstravel,Business,4754,350,318
dissatisfied,Male,LoyalCustomer,51,PersonalTravel,Eco,2269,318,317
dissatisfied,Female,LoyalCustomer,13,PersonalTravel,Eco,2016,291,317
dissatisfied,Male,LoyalCustomer,56,PersonalTravel,Eco,1987,319,317
dissatisfied,Male,disloyalCustomer,25,Businesstravel,Eco,2068,300,317
dissatisfied,Male,LoyalCustomer,54,Businesstravel,Business,4882,326,317
dissatisfied,Male,LoyalCustomer,72,Businesstravel,Business,3620,290,317
satisfied,Male,LoyalCustomer,56,Businesstravel,Business,5496,283,317
dissatisfied,Female,LoyalCustomer,43,PersonalTravel,Eco,2771,294,316
satisfied,Male,LoyalCustomer,32,Businesstravel,Business,4475,338,316
satisfied,Female,LoyalCustomer,53,Businesstravel,Business,5822,262,316
dissatisfied,Female,LoyalCustomer,59,Businesstravel,Business,4709,303,315
dissatisfied,Female,LoyalCustomer,52,PersonalTravel,Eco,3427,302,314
dissatisfied,Male,disloyalCustomer,36,Businesstravel,Eco,2176,216,314
dissatisfied,Female,LoyalCustomer,52,Businesstravel,Eco,2422,295,314
satisfied,Male,LoyalCustomer,39,Businesstravel,Eco,3160,318,314
dissatisfied,Female,LoyalCustomer,35,PersonalTravel,EcoPlus,2631,327,313
dissatisfied,Female,LoyalCustomer,24,PersonalTravel,Eco,3584,249,313
dissatisfied,Male,LoyalCustomer,25,PersonalTravel,Eco,2555,299,313
satisfied,Female,LoyalCustomer,65,Businesstravel,Business,5242,318,313
dissatisfied,Male,LoyalCustomer,67,PersonalTravel,EcoPlus,2787,298,312
dissatisfied,Male,disloyalCustomer,23,Businesstravel,Eco,4007,312,312
satisfied,Male,disloyalCustomer,41,Businesstravel,Business,2685,302,312
satisfied,Male,LoyalCustomer,63,PersonalTravel,Eco,2118,332,311
dissatisfied,Female,LoyalCustomer,9,Businesstravel,Eco,2407,323,311
dissatisfied,Male,LoyalCustomer,41,Businesstravel,Eco,1830,274,310
satisfied,Male,LoyalCustomer,37,Businesstravel,Eco,2050,291,310
satisfied,Female,LoyalCustomer,31,Businesstravel,Eco,4067,326,310
satisfied,Male,LoyalCustomer,41,Businesstravel,Business,2555,279,309
satisfied,Female,LoyalCustomer,34,Businesstravel,Business,3532,273,308
dissatisfied,Male,LoyalCustomer,25,PersonalTravel,Eco,2050,247,307
dissatisfied,Male,disloyalCustomer,28,Businesstravel,Eco,2724,300,307
dissatisfied,Male,LoyalCustomer,10,Businesstravel,Eco,2614,315,307
dissatisfied,Female,LoyalCustomer,31,Businesstravel,Business,3496,324,307
satisfied,Female,LoyalCustomer,33,Businesstravel,Business,2824,310,307
dissatisfied,Female,LoyalCustomer,18,PersonalTravel,Eco,1987,306,306
satisfied,Female,LoyalCustomer,33,Businesstravel,Eco,1881,293,306
satisfied,Male,LoyalCustomer,47,PersonalTravel,Business,2464,310,305
satisfied,Male,LoyalCustomer,49,Businesstravel,Eco,1976,283,305
satisfied,Female,LoyalCustomer,41,Businesstravel,Business,1796,282,305
dissatisfied,Female,LoyalCustomer,16,PersonalTravel,Eco,3827,301,304
dissatisfied,Female,LoyalCustomer,42,PersonalTravel,Business,2755,338,304
dissatisfied,Male,disloyalCustomer,23,Businesstravel,Eco,2191,312,304
satisfied,Female,LoyalCustomer,23,Businesstravel,Business,5158,299,304
dissatisfied,Male,disloyalCustomer,13,Businesstravel,Eco,2691,313,303
dissatisfied,Male,disloyalCustomer,11,Businesstravel,Eco,2924,327,303
satisfied,Male,LoyalCustomer,42,Businesstravel,Business,3267,237,303
dissatisfied,Male,LoyalCustomer,59,PersonalTravel,EcoPlus,2782,293,302
satisfied,Female,disloyalCustomer,25,Businesstravel,Business,3496,315,302
dissatisfied,Female,LoyalCustomer,32,Businesstravel,Business,3181,309,302
dissatisfied,Female,LoyalCustomer,22,Businesstravel,Business,2376,303,302
dissatisfied,Male,LoyalCustomer,39,PersonalTravel,EcoPlus,2968,296,301
dissatisfied,Female,LoyalCustomer,46,PersonalTravel,Eco,3308,296,301
dissatisfied,Male,LoyalCustomer,34,Businesstravel,Business,3583,305,301
satisfied,Female,LoyalCustomer,51,Businesstravel,Business,2890,318,301
satisfied,Male,disloyalCustomer,42,Businesstravel,Business,4407,348,300
satisfied,Female,LoyalCustomer,39,Businesstravel,Business,5755,310,300
dissatisfied,Female,LoyalCustomer,48,PersonalTravel,Business,2776,306,299
satisfied,Female,disloyalCustomer,20,Businesstravel,Business,3166,322,299
dissatisfied,Male,LoyalCustomer,50,Businesstravel,Business,2582,311,299
satisfied,Male,LoyalCustomer,46,Businesstravel,Business,3035,315,299
satisfied,Male,LoyalCustomer,48,Businesstravel,Business,3469,307,299
dissatisfied,Female,LoyalCustomer,48,Businesstravel,Business,2298,240,298
satisfied,Female,LoyalCustomer,41,Businesstravel,Business,3704,276,298
dissatisfied,Female,LoyalCustomer,21,PersonalTravel,Eco,1960,315,297
dissatisfied,Male,disloyalCustomer,18,Businesstravel,Eco,2250,315,297
dissatisfied,Male,LoyalCustomer,43,Businesstravel,Business,5181,308,297
satisfied,Male,LoyalCustomer,60,Businesstravel,Business,4870,304,297
dissatisfied,Male,disloyalCustomer,34,Businesstravel,Eco,2304,302,296
dissatisfied,Female,disloyalCustomer,72,Businesstravel,Eco,1965,324,296
dissatisfied,Female,LoyalCustomer,19,Businesstravel,Eco,3981,313,296
dissatisfied,Male,LoyalCustomer,49,Businesstravel,Business,3633,294,296
satisfied,Female,LoyalCustomer,46,Businesstravel,Business,5764,312,296
dissatisfied,Male,disloyalCustomer,41,Businesstravel,EcoPlus,2306,306,295
dissatisfied,Female,disloyalCustomer,66,Businesstravel,Business,1935,195,295
dissatisfied,Female,LoyalCustomer,41,Businesstravel,Eco,2460,307,295
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,4484,319,295
dissatisfied,Male,LoyalCustomer,47,PersonalTravel,Eco,2264,301,294
dissatisfied,Female,LoyalCustomer,16,PersonalTravel,Eco,1774,192,293
satisfied,Female,disloyalCustomer,50,Businesstravel,Business,2261,279,293
satisfied,Female,disloyalCustomer,37,Businesstravel,Business,1862,276,293
dissatisfied,Female,LoyalCustomer,44,Businesstravel,Eco,2507,307,293
dissatisfied,Male,disloyalCustomer,34,Businesstravel,Business,2597,291,292
satisfied,Male,LoyalCustomer,60,Businesstravel,Business,3979,298,292
dissatisfied,Female,LoyalCustomer,38,PersonalTravel,Eco,3413,292,291
dissatisfied,Female,disloyalCustomer,37,Businesstravel,Eco,2184,265,291
dissatisfied,Female,LoyalCustomer,9,PersonalTravel,Eco,2530,286,290
dissatisfied,Male,disloyalCustomer,34,Businesstravel,Business,2705,297,290
dissatisfied,Male,disloyalCustomer,30,Businesstravel,Eco,2500,290,290
dissatisfied,Male,LoyalCustomer,55,Businesstravel,EcoPlus,2120,324,290
satisfied,Male,LoyalCustomer,38,Businesstravel,Eco,2194,300,290
dissatisfied,Male,LoyalCustomer,15,PersonalTravel,Eco,3392,194,289
dissatisfied,Male,disloyalCustomer,29,Businesstravel,Business,2773,301,289
dissatisfied,Female,LoyalCustomer,19,Businesstravel,Business,4727,247,289
satisfied,Female,LoyalCustomer,52,Businesstravel,Business,3998,287,289
dissatisfied,Female,LoyalCustomer,62,PersonalTravel,Eco,1927,249,288
dissatisfied,Male,LoyalCustomer,52,PersonalTravel,Eco,2636,264,288
dissatisfied,Male,disloyalCustomer,44,Businesstravel,Business,2139,295,288
satisfied,Female,LoyalCustomer,58,Businesstravel,Business,2497,294,288
dissatisfied,Female,LoyalCustomer,42,Businesstravel,Eco,1981,289,288
satisfied,Male,LoyalCustomer,43,Businesstravel,EcoPlus,2654,258,288
satisfied,Male,LoyalCustomer,43,Businesstravel,Business,4133,304,288
satisfied,Female,LoyalCustomer,52,Businesstravel,Business,2292,298,287
satisfied,Male,LoyalCustomer,33,Businesstravel,Business,4057,281,287
satisfied,Female,LoyalCustomer,38,Businesstravel,Business,3005,267,287
satisfied,Female,LoyalCustomer,44,Businesstravel,Business,2079,238,287
dissatisfied,Female,LoyalCustomer,67,PersonalTravel,Eco,4098,282,286
